# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-s" "0" "-p" "--countReadPairs" "-B" "-C" "-Q" "10" "-F" "SAF" "-a" "/mnt/d/work_dir/memoria/obj2/anotacion/table_genebodies_1_fixed_overlap/genebodies_final.saf" "-o" "/mnt/d/work_dir/memoria/obj2/featureCounts/genebody_counts.txt" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F4.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F4.sorted.bam
ENSG00000157881	chr1	2508527	2526606	-	18080	1278	1258	1422	1587	1099	1005	1088	1153	2180	1580	1708	2005	2067	1506	1749	1720	1743	1170	873	1898	1716	1659	2233	1533
ENSG00000157873	chr1	2556212	2563839	+	7628	14	20	35	5	46	33	21	32	53	52	29	18	16	25	36	17	106	179	87	84	41	30	73	25
ENSG00000157870	chr1	2586740	2591478	+	4739	368	416	385	525	367	308	270	374	495	320	399	462	556	494	568	420	447	421	263	505	517	467	578	355
ENSG00000130762	chr1	3454655	3481123	+	26469	405	478	468	415	169	140	70	63	413	250	196	181	1027	754	603	531	709	407	213	338	708	746	718	469
ENSG00000162591	chr1	3487941	3611518	-	123578	12230	15777	13593	11501	6676	5689	3415	3013	23131	16464	11371	11517	41369	39813	27789	24743	23719	16627	9610	16839	27556	28890	25753	17935
ENSG00000158109	chr1	3625005	3630137	+	5133	3079	3486	3573	4067	2346	2339	2330	2415	4392	2821	2914	3480	6635	5461	5843	4863	4205	3615	2373	4090	4868	4506	5600	3744
ENSG00000116213	chr1	3630757	3650113	-	19357	1040	1154	1291	1209	854	811	847	828	1829	1232	1247	1430	1803	1488	1753	1476	1585	1078	960	1542	1537	1366	2023	1390
ENSG00000235169	chr1	3772739	3775992	+	3254	18	24	11	30	62	42	34	54	41	38	30	20	24	30	26	24	25	44	23	43	30	37	31	32
ENSG00000130764	chr1	3778549	3796508	-	17960	5806	5940	6873	8019	4395	4104	4233	4473	9181	6083	6901	7349	9071	7185	7565	6547	7065	5610	3997	7902	7881	6765	9653	6362
ENSG00000198912	chr1	3889123	3900282	-	11160	1634	1870	1907	2278	1336	1378	1459	1444	2219	1469	1718	1759	2434	1952	2230	1712	2192	1718	1279	2374	1988	1904	2710	1535
ENSG00000116254	chr1	6101777	6180331	-	78555	265	263	254	266	180	137	99	125	1946	1445	1358	1701	375	231	289	249	712	764	382	789	239	234	223	234
ENSG00000116251	chr1	6185010	6200852	-	15843	20280	26538	21389	25917	16070	17835	15014	13456	21540	15158	15824	16159	23947	20720	20078	16256	16245	14078	10074	19215	20434	18609	23073	14594
ENSG00000158292	chr1	6247343	6261108	-	13766	441	510	365	486	727	604	442	499	1187	812	803	901	697	561	509	382	793	732	477	855	649	602	654	386
ENSG00000097021	chr1	6264259	6393777	-	129519	7179	7764	8737	9692	4454	3975	4133	4940	8037	5040	5530	6022	10555	8379	9984	8535	9174	7140	5027	8644	8449	7409	10446	7238
ENSG00000215788	chr1	6460776	6466185	-	5410	136	134	110	82	374	302	167	193	234	192	135	170	386	501	285	265	299	259	112	222	337	349	172	163
ENSG00000171680	chr1	6467112	6520019	-	52908	358	401	259	270	1056	870	523	539	670	523	421	450	996	1092	727	658	675	587	269	482	944	830	586	430
ENSG00000162408	chr1	6521337	6554523	-	33187	2429	2384	2763	3221	1727	1588	2044	2127	2841	1888	1919	2423	2835	2025	2479	2288	2300	1428	1167	2429	2222	1870	2997	2005
ENSG00000204859	chr1	6579984	6589290	+	9307	866	837	1082	992	783	771	723	869	1631	1090	1258	1263	1666	1325	1410	1278	1159	903	796	1452	1429	1256	1798	1198
ENSG00000049246	chr1	7784281	7845187	+	60907	5276	4403	5501	5424	3347	2265	2731	2643	8826	5312	7620	7643	9549	4804	6451	5246	4738	3498	2787	4490	6407	4048	6630	4392
ENSG00000116288	chr1	7961682	7985515	+	23834	19662	23897	20103	22421	15620	16870	14459	14660	25499	17814	18544	19222	29260	24834	24573	20319	20065	18642	12311	23786	25749	24052	30102	18043
ENSG00000116285	chr1	8004394	8026319	-	21926	16162	16221	15308	16929	17173	14871	15684	17769	18354	9896	12439	14717	24613	22877	22841	20433	13412	13380	9396	17785	19711	17902	23527	18201
ENSG00000162426	chr1	8318104	8344177	+	26074	263	272	289	232	265	233	205	231	400	271	275	300	311	355	254	189	276	266	182	309	290	214	293	176
ENSG00000142599	chr1	8352387	8817650	-	465264	14183	12310	13956	15148	15038	11941	13460	15191	21905	13385	17547	20317	26179	19045	22374	19119	16362	12670	8721	15831	17404	14581	19822	14841
ENSG00000074800	chr1	8860990	8878699	-	17710	252204	297821	260157	300911	233143	217671	209210	213856	299040	193380	218465	227699	388867	323343	342122	274801	272571	228934	166700	328750	339195	325092	387306	245308
ENSG00000180758	chr1	9100295	9129112	-	28818	510	578	489	519	442	419	369	395	572	310	344	387	696	600	603	478	809	526	387	604	604	436	645	405
ENSG00000049239	chr1	9234764	9271347	+	36584	3120	3388	2468	2510	3697	3266	2911	3095	4567	3147	3561	3897	5297	4727	4350	3106	3566	3632	2287	4019	4344	4325	4523	3168
ENSG00000171621	chr1	9292884	9369542	+	76659	1098	1209	1206	1419	1456	1338	1564	1476	2569	1639	2077	2362	2690	1973	2586	2035	2344	1711	1258	1951	1665	1309	2085	1285
ENSG00000188807	chr1	9588901	9614887	+	25987	2842	2767	3833	4544	1725	1488	2227	2426	4693	2731	3860	4670	4319	3041	4187	3758	3699	2265	2079	3619	3430	2719	4629	3658
ENSG00000178585	chr1	9848266	9910346	-	62081	1440	1790	1746	1982	1622	1499	1457	1570	1759	1227	1390	1620	2520	2027	2340	2118	1805	1414	911	1725	2021	2140	2823	1921
ENSG00000162441	chr1	9926283	9943417	-	17135	3955	4292	3885	4473	2625	2879	2742	2754	4324	2738	3137	3388	5129	3951	4436	3770	3440	2784	2110	3874	4401	3998	5218	3294
ENSG00000130939	chr1	10032822	10181249	+	148428	5050	4944	4886	5814	5104	4396	4699	4788	7771	4781	5788	6052	8614	6079	7231	5682	6119	4246	3234	6015	6909	5637	7713	5041
ENSG00000142657	chr1	10399054	10420521	+	21468	13666	16775	15934	17716	15852	16021	15478	16142	21541	13903	16374	16953	26398	20762	23562	17846	21376	16879	13435	21916	22540	18539	26506	16768
ENSG00000160049	chr1	10456512	10472539	-	16028	8765	8640	10458	11565	5404	4666	5986	5998	12690	7439	9509	9992	10786	7619	9359	7594	8477	6318	5355	9665	9321	7579	12385	8317
ENSG00000142655	chr1	10474940	10630768	+	155829	2047	2092	2416	2594	1493	1353	1672	1701	3394	2083	2422	2481	3452	2532	3069	2530	2539	2068	1438	2733	2792	2324	3331	2107
ENSG00000130940	chr1	10636594	10796660	-	160067	988	997	1418	1293	604	469	701	667	1691	873	1067	1322	1153	863	1070	966	1489	1055	761	1206	1205	1011	1632	1161
ENSG00000120948	chr1	11012414	11025502	+	13089	9061	9169	10505	11190	8149	8104	9183	9374	16458	10818	11716	13139	15806	11228	13627	11628	15364	11543	8904	17204	12887	11702	15746	10600
ENSG00000116649	chr1	11054579	11060028	-	5450	11374	10656	14721	16528	9789	8550	10657	11428	19113	11385	13870	15880	17371	12962	16717	14578	15346	10115	8548	16751	14633	12736	21058	14291
ENSG00000198793	chr1	11106525	11262561	-	156037	8267	7383	8447	9526	6206	5034	6719	6805	11940	6996	9714	10842	11568	7211	9983	8229	9829	6621	5278	9659	8694	7181	11284	7603
ENSG00000120942	chr1	11273188	11295174	+	21987	1657	1616	1974	2296	1071	894	1176	1322	2373	1571	1942	2306	2386	1792	2261	1954	2248	1582	1211	2377	2034	1809	2718	1898
ENSG00000116663	chr1	11664190	11674364	+	10175	276	356	286	323	203	224	182	210	367	313	327	370	375	418	381	272	1050	1004	539	776	310	370	365	174
ENSG00000116670	chr1	11674470	11691660	-	17191	5775	6323	6235	6638	3477	3418	3138	3253	6230	4357	4519	4744	6127	5336	5218	4524	6015	5217	3265	6706	5900	5634	7278	4635
ENSG00000177674	chr1	11736074	11750781	+	14708	2398	2601	2490	2632	2580	2544	2257	2467	2992	1960	2375	2091	3717	3389	3475	2497	3720	3470	2021	3430	3184	2771	3704	2216
ENSG00000177000	chr1	11785713	11805974	-	20262	907	1008	906	1022	1032	820	757	722	1186	737	870	883	1512	1143	1204	949	1432	1157	770	1259	1246	1014	1302	924
ENSG00000011021	chr1	11806086	11843153	+	37068	2235	1981	2215	1740	1719	1540	1561	1615	2626	1706	1856	2134	3845	2759	2924	2514	3210	2195	1753	2887	3058	2306	3700	2410
ENSG00000116685	chr1	11919581	11926438	-	6858	7638	9070	8436	9864	7487	6345	6059	6514	10488	6902	7377	7777	13696	11685	11657	9496	11727	9717	6378	11574	12854	12240	14020	9199
ENSG00000083444	chr1	11934707	11975547	+	40841	27289	29293	27741	29130	29012	24301	22695	25502	32474	20053	21524	23419	43903	42538	38275	30335	31715	30080	19448	36533	47967	43136	48566	32669
ENSG00000116688	chr1	11980171	12015221	+	35051	9657	10201	10671	11846	7625	6924	7467	8124	16718	10977	13279	14454	15899	11377	13380	11635	12573	9552	6594	12384	12859	11430	15384	10170
ENSG00000116691	chr1	12019488	12032055	+	12568	2325	2549	2793	2836	2152	1847	1956	1935	3758	2539	2682	2845	3690	3344	3329	2737	3120	2588	1900	3642	3555	3164	4221	2662
ENSG00000028137	chr1	12166981	12209230	+	42250	277	320	196	285	421	292	211	159	419	264	175	141	434	661	433	259	592	722	300	456	569	532	458	241
ENSG00000048707	chr1	12230020	12512057	+	282038	3302	3727	3454	3156	3582	3128	3356	3164	4454	2729	3433	3857	6431	5131	5302	4216	4740	4357	2608	4556	5069	4413	5529	3812
ENSG00000162496	chr1	12567899	12620143	-	52245	4248	4917	2977	3647	4831	4422	3408	3845	4908	3291	3401	3887	7407	8171	5700	4289	5175	4821	2743	5018	5349	4635	4552	2964
ENSG00000116731	chr1	13700178	13825089	+	124912	2891	2663	2775	2970	3123	2774	2813	2844	4918	3112	3717	4303	5173	3697	4127	3757	3995	3131	2070	4030	4326	3597	4515	3220
ENSG00000189337	chr1	13892782	15118053	+	1225272	3545	3298	3690	4232	1559	1220	1324	1683	4676	2943	3307	4608	5369	3792	3971	3738	3602	2999	2456	4939	4413	3465	4577	3695
ENSG00000171729	chr1	15152522	15220488	+	67967	518	490	639	657	566	428	692	723	711	415	514	678	1081	704	898	718	936	662	426	661	705	660	1131	714
ENSG00000142634	chr1	15409878	15430349	+	20472	5992	6790	7758	8850	4712	4395	4752	4593	7291	4904	5350	5539	9139	7177	8038	6851	7872	6090	4605	7877	7747	7244	9615	6158
ENSG00000132906	chr1	15490822	15524736	-	33915	400	460	421	434	419	474	389	383	674	452	432	510	870	767	705	538	571	459	296	631	752	642	744	440
ENSG00000116786	chr1	15684310	15734779	+	50470	6231	6196	6546	6830	5231	4602	4762	4922	9252	5929	6701	7294	9928	8321	8692	6739	9246	7845	5310	9371	6151	5444	7538	5224
ENSG00000162458	chr1	15756649	15786604	+	29956	1137	1172	1000	1213	2647	2449	1775	1933	1704	1037	1358	1794	1969	2188	1698	1389	1396	1360	849	1749	1623	1331	1702	1521
ENSG00000116809	chr1	15941859	15976142	-	34284	1172	1162	1316	1522	1229	1120	1330	1333	2185	1587	1757	1802	2092	1736	2059	1799	1738	1350	1045	1902	1941	1699	2443	1522
ENSG00000142627	chr1	16124327	16156079	-	31753	10858	10458	15162	17388	5300	4250	6284	7474	20842	11273	14347	15403	24036	17153	20832	20984	16300	12568	9219	15613	14653	13065	20902	17146
ENSG00000142632	chr1	16197844	16212662	-	14819	447	419	433	467	447	398	413	387	692	493	588	564	687	625	710	504	519	424	310	567	678	547	740	424
ENSG00000132881	chr1	16231682	16237193	-	5512	58	76	71	82	61	51	60	57	84	67	87	94	134	114	129	120	144	111	42	127	105	85	143	73
ENSG00000037637	chr1	16246830	16352490	-	105661	665	727	719	828	631	625	554	634	1195	707	819	874	1216	1021	1027	878	944	767	528	1159	991	937	1231	757
ENSG00000055070	chr1	16367078	16398155	+	31078	3039	3177	3557	3840	2958	2556	2761	2915	4769	3121	3411	3882	5574	4504	5315	4268	4551	4005	3114	5357	4655	4190	6063	4098
ENSG00000219481	chr1	16562309	16613497	-	51189	1162	1012	1235	1583	699	597	660	574	2202	1316	778	1570	1658	854	1461	852	1310	898	886	947	1378	1174	1319	755
ENSG00000058453	chr1	16921921	16972974	+	51054	371	423	424	476	274	251	276	251	528	316	378	383	757	619	703	497	597	505	447	694	562	533	631	494
ENSG00000117122	chr1	16974492	16980630	-	6139	4826	5799	5838	6144	4892	4671	4441	5151	9588	5648	5890	6158	11979	11342	10659	8519	7184	6965	4941	8225	10642	9607	11940	7997
ENSG00000159363	chr1	16985948	17011938	-	25991	2088	2157	2453	2544	1452	1249	1385	1616	3474	1956	2370	2580	3944	3188	3609	3057	3281	2647	1987	3298	3169	2812	4022	2583
ENSG00000117118	chr1	17018711	17054161	-	35451	4741	5434	5478	5805	2708	3140	3084	2531	6747	4007	4973	5276	5286	4429	4899	4702	6100	4240	3466	5578	5269	4055	6710	4511
ENSG00000117115	chr1	17066751	17119461	-	52711	68	32	85	92	175	129	124	141	220	103	94	82	257	218	207	197	96	52	39	54	231	190	322	268
ENSG00000074964	chr1	17539688	17697879	+	158192	177	187	103	99	151	181	139	117	102	88	73	55	124	190	136	110	352	304	183	382	118	79	124	69
ENSG00000117148	chr1	17755323	17827073	+	71751	136	151	128	143	69	62	77	91	93	96	80	65	64	47	77	31	157	112	111	178	72	57	112	59
ENSG00000159423	chr1	18871420	18902565	-	31146	777	910	952	944	715	593	677	732	1100	799	903	926	1556	1273	1508	1161	1241	1115	819	1354	1376	1202	1796	1055
ENSG00000169991	chr1	18904270	18956686	-	52417	2574	2414	2674	2736	2513	1880	2180	2534	2409	1576	1715	2140	3478	2683	3210	2799	2423	2270	1601	2907	3622	2901	4292	2786
ENSG00000127481	chr1	19074500	19210276	-	135777	12886	10725	12626	12376	10300	7985	10228	10654	17585	10157	14711	16038	19965	13483	17351	14657	19271	14512	10514	17536	15296	12637	18146	12677
ENSG00000053372	chr1	19251795	19260138	+	8344	5601	6487	7656	8805	3385	3200	4096	4199	8523	5311	5901	6596	7842	5497	7447	6451	6921	4634	3718	7524	6469	5625	8830	6327
ENSG00000053371	chr1	19301981	19312154	-	10174	2282	2333	2325	2567	2043	1938	1838	1844	3349	2141	2289	2578	3510	3021	3167	2648	3337	2813	1926	3725	3235	3117	3862	2716
ENSG00000040487	chr1	19312316	19329310	+	16995	1461	1519	1978	2212	1249	1049	1194	1325	2242	1406	1728	1731	3032	2182	2474	1925	2543	1973	1437	2470	2347	1913	2704	1919
ENSG00000162542	chr1	19682230	19799926	-	117697	483	519	536	549	851	785	791	743	702	534	534	693	944	695	750	727	1478	1256	810	1252	613	646	946	574
ENSG00000169914	chr1	19882385	19912955	+	30571	1001	970	1062	1089	827	859	882	905	1906	1185	1189	1414	1838	1441	1699	1374	1539	1070	780	1471	1367	956	1487	967
ENSG00000162545	chr1	20482381	20486220	-	3840	1190	1036	904	818	1021	936	1372	1473	567	405	548	556	302	335	407	344	660	1224	804	1339	293	263	399	262
ENSG00000090432	chr1	20499438	20508161	-	8724	2952	3188	3612	4021	2315	2129	2389	2635	4487	2727	3439	3557	4772	3493	4110	3758	4211	3485	2525	5080	3983	3387	4993	3455
ENSG00000189410	chr1	20719721	20732713	-	12993	542	618	1305	1145	224	206	365	256	1462	720	972	1063	1098	627	1071	1128	929	444	608	687	572	409	1082	844
